시도명,시군구명,도로명,지정사유,지정연도,도로폭,도로연장,도로차로수,보차분리여부,시작점위도,시작점경도,종료점위도,종료점경도,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
경상북도,구미시,봉곡로23길,통행원활,,6,435,1,N,36.155831,128.310157,36.155751,128.311436,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,산업로2길,통행원활,,6,75,1,N,36.130241,128.330706,36.129871,128.331559,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,한천길,통행원활,,6,300,1,N,36.128501,128.463701,36.129001,128.460501,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,금오산로22길,통행원활,,6,80,1,N,36.127655,128.329369,36.126956,128.329373,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,금오산로10길,통행원활,,6,145,1,N,36.125393,128.335456,36.125966,128.333814,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,형곡로8길,통행원활,,6,490,2,Y,36.115454,128.332469,36.117681,128.327713,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,형곡로7길,통행원활,,6,185,2,Y,36.114455,128.334605,36.115351,128.332678,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,형곡로7길,통행원활,,6,195,1,Y,36.115154,128.332618,36.114256,128.334554,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,형곡로10길,통행원활,,6,490,2,N,36.117517,128.327601,36.115311,128.332298,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,인동중앙로,통행원활,,6,130,1,N,36.107826,128.422098,36.108385,128.423509,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,화신로,통행원활,,6,13,1,N,36.114631,128.355661,36.114699,128.355536,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,송선로,통행원활,,6,105,1,Y,36.132727,128.323208,36.133642,128.323301,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,신비로,통행원활,,6,60,1,N,36.124022,128.381424,36.124009,128.381416,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,칠성로6길,통행원활,,6,120,1,Y,36.123722,128.362214,36.123354,128.360791,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,상림로,통행원활,,6,110,2,Y,36.101735,128.362826,36.100959,128.361551,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,인동남길,통행원활,,6,200,1,Y,36.093714,128.434355,36.093332,128.432796,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,인동38길,통행원활,,6,110,1,Y,36.092866,128.432637,36.092521,128.433812,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,인동38길,통행원활,,6,110,1,Y,36.092925,128.433992,36.093272,128.432809,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,인동38길,통행원활,,6,110,1,Y,36.093665,128.432998,36.093319,128.434168,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,인동38길,통행원활,,6,35,1,Y,36.092838,128.432585,36.092504,128.432425,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,인동32길,통행원활,,6,375,1,Y,36.094573,128.427937,36.092774,128.431399,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,역전로2길,통행원활,,6,270,1,Y,36.129601,128.334901,36.130701,128.332201,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,신시로7길,통행원활,,6,430,1,Y,36.114791,128.338055,36.111832,128.336088,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,신시로16길,통행원활,,6,1150,1,N,36.115547,128.351446,36.115756,128.339349,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,신시로14길,통행원활,,6,1150,1,N,36.115394,128.339341,36.115263,128.351292,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,신곡길,통행원활,,6,190,1,N,36.306326,128.329817,36.305428,128.328103,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,신곡길,통행원활,,6,210,1,N,36.304787,128.328611,36.306298,128.329903,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,수출대로,통행원활,,6,130,1,N,36.111072,128.391991,36.111088,128.390154,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,수출대로,통행원활,,6,195,1,N,36.110905,128.389749,36.110801,128.391911,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,삼일로,통행원활,,6,40,1,N,36.110181,128.418048,36.110536,128.418038,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,삼일로,통행원활,,6,35,1,N,36.110441,128.417889,36.110181,128.418048,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
경상북도,구미시,봉곡로24길,통행원활,,6,430,1,Y,36.155851,128.310157,36.155752,128.311486,,경상북도 구미시청,054-480-6114,2026-03-01,5080000,경상북도 구미시
